tok,Freq
I couldn‰Ûªt,4
i e,4
I found,4
I hate,4
i have,4
i know,4
I learned,4
I look,4
i love,4
I loved,4
I may,4
I miss,4
I started,4
I tried,4
I try,4
I use,4
I used,4
I won,4
I wrote,4
I‰Ûªve been,4
If it,4
image of,4
in December,4
in high,4
in it,4
in North,4
In other,4
in Portland,4
in prison,4
in recent,4
in school,4
in two,4
inside of,4
inside the,4
involved in,4
is another,4
is back,4
is coming,4
is easy,4
is from,4
is good,4
is how,4
is scheduled,4
is there,4
is this,4
it A,4
It also,4
it at,4
it but,4
it came,4
it can,4
it comes,4
it could,4
it does,4
it even,4
it had,4
it It,4
it ll,4
it may,4
it really,4
it the,4
it The,4
it up,4
It will,4
just as,4
kinds of,4
know the,4
laid off,4
last night,4
learn the,4
least a,4
let me,4
let the,4
level of,4
life was,4
living in,4
ll have,4
looked like,4
looking forward,4
love this,4
m just,4
m sure,4
m trying,4
made in,4
majority of,4
Make it,4
make my,4
make sure,4
makes it,4
makes sense,4
managed to,4
Middle School,4
millions of,4
month of,4
months of,4
more and,4
more like,4
more often,4
morning I,4
much of,4
my favourite,4
my friend,4
my God,4
my way,4
nation s,4
near the,4
never be,4
night I,4
North Carolina,4
not even,4
not exactly,4
not in,4
not just,4
not sure,4
not that,4
of force,4
of friends,4
of good,4
of how,4
of me,4
of The,4
of two,4
of violence,4
of which,4
of work,4
of years,4
off of,4
Oh my,4
on an,4
on and,4
on both,4
on Friday,4
on me,4
on our,4
on over,4
on some,4
on that,4
On the,4
on these,4
on twitter,4
one I,4
one in,4
one that,4
only a,4
only to,4
onto the,4
open to,4
or other,4
or two,4
other in,4
other people,4
our own,4
out at,4
out for,4
out on,4
over a,4
over and,4
participate in,4
past week,4
perfect for,4
pick up,4
place for,4
plan to,4
plans to,4
play as,4
points and,4
presence of,4
program and,4
proud of,4
public and,4
put on,4
question is,4
re a,4
re in,4
re not,4
read it,4
refused to,4
remember that,4
remember to,4
research and,4
rid of,4
right to,4
s about,4
s all,4
s also,4
s best,4
s more,4
s probably,4
s something,4
s your,4
said his,4
said they,4
salt and,4
San Diego,4
scheduled to,4
second half,4
see how,4
seemed to,4
she had,4
She said,4
shouldn t,4
show in,4
side of,4
since it,4
so good,4
so there,4
someone who,4
something I,4
sound of,4
sounds like,4
spent the,4
start with,4
story of,4
t been,4
t even,4
t forget,4
t that,4
talked about,4
tell me,4
tell you,4
that as,4
that doesn,4
that for,4
that i,4
that if,4
That may,4
the agency,4
the audience,4
the average,4
the big,4
the board,4
the carpet,4
the central,4
the Colorado,4
The company,4
the court,4
the door,4
the early,4
the evening,4
the family,4
the Fed,4
the fight,4
the First,4
the greatest,4
the hospital,4
the host,4
the hot,4
the House,4
the job,4
the love,4
the main,4
the market,4
the medium,4
the more,4
the morning,4
the nation,4
the night,4
the number,4
The number,4
the opposite,4
The other,4
the photo,4
the presence,4
the president,4
the process,4
the restaurant,4
the results,4
the room,4
the rules,4
the side,4
the small,4
the street,4
the subject,4
the things,4
the third,4
the three,4
the Timbers,4
the United,4
the University,4
the US,4
the very,4
the war,4
the winter,4
the worst,4
the years,4
them and,4
them from,4
Then I,4
then the,4
there for,4
there were,4
these two,4
they can,4
they do,4
they said,4
they ve,4
they want,4
They were,4
thing that,4
things that,4
think she,4
think they,4
this and,4
this season,4
this to,4
this world,4
though it,4
Thursday night,4
time was,4
tired of,4
to add,4
to admit,4
to all,4
to answer,4
to buy,4
to catch,4
to close,4
to consider,4
to deal,4
to enter,4
to focus,4
to forget,4
to live,4
to meet,4
to not,4
to save,4
to send,4
to some,4
to state,4
to talk,4
to transfer,4
to us,4
to walk,4
together and,4
told that,4
too many,4
took the,4
towards the,4
training and,4
two of,4
under way,4
until it,4
up by,4
up my,4
up on,4
upon a,4
us the,4
use it,4
visit to,4
waiting for,4
waiting to,4
wake up,4
want it,4
wanting to,4
was also,4
was born,4
was his,4
was only,4
was something,4
was still,4
way home,4
way it,4
way too,4
we don‰Ûªt,4
we get,4
we got,4
We got,4
We had,4
we know,4
We need,4
We should,4
we ve,4
we went,4
We were,4
week for,4
week I,4
were so,4
What is,4
what s,4
what you‰Ûªre,4
when a,4
when she,4
which are,4
who knows,4
will continue,4
will you,4
willing to,4
with me,4
with no,4
with some,4
With the,4
with their,4
with us,4
woke up,4
worth of,4
would love,4
wrote in,4
year ago,4
year I,4
years and,4
years in,4
years old,4
Yes I,4
you d,4
you guys,4
you hate,4
you I,4
you love,4
you might,4
You might,4
you of,4
you realize,4
you were,4
you when,4
you‰Ûªre not,4
your thoughts,4
#NAME?,3
‰ÛÏI am,3
‰Ûù and,3
‰Ûù the,3
& then,3
000 in,3
1 percent,3
10:00 AM,3
10 years,3
2 5,3
2:00 PM,3
4 percent,3
5 percent,3
5 to,3
50 and,3
6:00 PM,3
7 percent,3
a beautiful,3
a book,3
a bunch,3
a card,3
a common,3
a conversation,3
a corner,3
a country,3
a defence,3
a different,3
a do-over,3
a fan,3
a favorite,3
a field,3
a gift,3
a girl,3
A good,3
A great,3
a guitar,3
a gun,3
a handful,3
a happy,3
a home,3
a host,3
a hot,3
a key,3
a look,3
a must,3
a natural,3
a part,3
a penny,3
a phone,3
a place,3
a political,3
a positive,3
a profit,3
a public,3
a puppy,3
a real,3
a reality,3
a recent,3
a report,3
a risk-taker,3
a rough,3
a senior,3
a silver,3
a situation,3
a slightly,3
a sort,3
a special,3
a stand,3
a system,3
a third,3
a tiny,3
a top,3
a total,3
a vehicle,3
about $1,3
about 1,3
about her,3
about his,3
about their,3
about what,3
addicted to,3
admit it,3
after all,3
After all,3
again and,3
against which,3
ago and,3
ago I,3
agreed to,3
agreement with,3
Air Force,3
all day,3
All I,3
all just,3
all kinds,3
all night,3
all things,3
all year,3
all you,3
allowed to,3
alone and,3
along the,3
also said,3
